subject,category,n,mean,stdev
"Business, Management, Marketing",Business / Communications,825,84572,54541
Journalism,Business / Communications,39,89064,58195
Communications,Business / Communications,181,90735,57796
Health,Health,263,77791,51535
Philosophy,Humanities,28,81911,57032
Liberal Arts and Humanities,Humanities,57,88947,48324
Visual & Performing Arts,Humanities,194,94381,53371
English,Humanities,107,99533,59856
No degree earned,No Degree,3860,61973,46477
Associate's Degree only,Other,2025,56636,41496
Public Administration and Social Service Professions,Public Administration / Law,47,59277,43423
Security and Protective Services,Public Administration / Law,64,66625,49228
Education,Social Sciences,251,72536,45375
Psychology,Social Sciences,213,75256,52249
Social Sciences,Social Sciences,253,91704,55851
Economics,Social Sciences,65,91923,52670
History,Social Sciences,75,95900,58087
Computer & Information Science,STEM,22,69682,53010
Computer Science & Information Sciences,STEM,64,77031,52260
Agricultural Science,STEM,39,78526,52787
Mathematics ,STEM,45,78789,53331
Physical Sciences,STEM,56,79973,48518
Architecture,STEM,34,83971,54189
Engineering,STEM,202,88037,53352
Biology,STEM,226,89869,56861
Natural Resources and Conservation,STEM,30,99333,58413
